,name,album,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,minmax_duration,minmax_tempo
28,Make You Stay,0.21405405405405406,0.21555419473361911,0.0,0.6237113402061856,0.921,0.8181818181818182,-1.1404523934771174,0.0,0.04230769230769231,0.02038152610441767,0.0,0.228,0.7164634146341463,0.8,0.999009900990099,0.0363704241487167,0.4060222270332683
29,Miss DJ,0.21405405405405406,0.21555419473361911,0.0,0.7000000000000001,0.8909999999999999,0.9090909090909091,-0.9287217254076802,1.0,0.03523908523908524,0.09568273092369478,0.0,0.155,0.9806910569105691,0.8,0.999009900990099,0.0376983822170242,0.464530562170744
30,She Got Me Bad,0.21405405405405406,0.21555419473361911,0.0,0.6288659793814433,0.7440000000000001,0.9090909090909091,-1.5305102577590741,1.0,0.0525987525987526,0.4116465863453815,0.0,0.142,0.6829268292682927,0.8,0.999009900990099,0.0322581977334354,0.7667649924226021
31,Breath of Your Life,0.21405405405405406,0.21555419473361911,0.0,0.7268041237113402,0.769,0.09090909090909091,-1.8629668595476059,1.0,0.03617463617463618,0.2821285140562249,0.0,0.0997,0.8079268292682927,0.8,0.999009900990099,0.0386521861586099,0.4330076856462437
32,Intuition,0.21405405405405406,0.21555419473361911,0.0,0.7938144329896908,0.55,0.6363636363636364,-1.713571804313519,1.0,0.035343035343035345,0.5381526104417671,0.0,0.149,0.6666666666666666,0.8,0.999009900990099,0.0412466518161342,0.5679394890668976
33,Heartbreak Time,0.21405405405405406,0.21555419473361911,0.0,0.6298969072164948,0.61,0.45454545454545453,-2.064965807469753,0.0,0.040852390852390855,0.3002008032128514,0.0,0.297,0.6951219512195123,0.8,0.999009900990099,0.0405374934646919,0.7757586418416685
34,Something About You,0.21405405405405406,0.21555419473361911,0.0,0.8247422680412372,0.552,0.9090909090909091,-1.6328248290373482,1.0,0.025363825363825365,0.15863453815261044,0.0,0.1669999999999999,0.3526422764227642,0.8,0.999009900990099,0.0399604866811868,0.4421140939597315
35,Love in a Dangerous Time,0.21405405405405406,0.21555419473361911,0.0,0.611340206185567,0.95,0.7272727272727273,-1.7674907943187794,1.0,0.041891891891891894,0.18373493975903615,0.000251,0.0615,0.8038617886178862,0.8,0.999009900990099,0.0487322121924688,0.446597387601934
36,Love The One You're With,0.29405405405405405,0.9730557256582976,0.0,0.6288659793814433,0.883,0.0,-1.5489216201998945,1.0,0.07785862785862785,0.24096385542168675,0.0,0.248,0.6514227642276422,0.8,0.9915841584158416,0.0353659070429352,0.4286371508984629
37,Your Game,0.29405405405405405,0.9730557256582976,0.0,0.7639175257731959,0.632,1.0,-2.061546554445029,0.0,0.044802494802494805,0.07730923694779117,0.0,0.0334,0.6026422764227642,0.8,0.9915841584158416,0.0411321755204087,0.4194044526232229
38,Stronger,0.29405405405405405,0.9730557256582976,0.0,0.6649484536082475,0.513,0.0,-2.2104155707522355,1.0,0.04064449064449065,0.2971887550200803,3.75e-06,0.109,0.6941056910569106,0.8,0.9915841584158416,0.0524839952062018,0.3383127661109908
39,Leave Right Now,0.29405405405405405,0.9730557256582976,0.0,0.6608247422680411,0.445,0.5454545454545454,-2.281430825881115,1.0,0.038253638253638256,0.14558232931726905,0.0,0.108,0.38922764227642265,0.8,0.9915841584158416,0.0353064388373635,0.369537959154218
40,Love Is A Matter Of Distance,0.29405405405405405,0.9730557256582976,0.0,0.5597938144329896,0.56,0.7272727272727273,-1.8364018937401367,1.0,0.02494802494802495,0.5120481927710844,0.0,0.0954,0.3089430894308943,0.8,0.9915841584158416,0.0292429945214915,0.4507694666955329
41,Dance The Night Away,0.29405405405405405,0.9730557256582976,0.0,0.7938144329896908,0.757,1.0,-1.4166228300894266,0.0,0.045738045738045734,0.17369477911646586,8.87e-06,0.0244,0.6056910569105691,0.8,0.9915841584158416,0.040400881781337,0.4510085155517067
42,Very Kind,0.29405405405405405,0.9730557256582976,0.0,0.7938144329896908,0.288,0.8181818181818182,-2.71436086270384,0.0,0.05467775467775468,0.11244979919678705,0.0,0.1639999999999999,0.44715447154471544,0.8,0.9915841584158416,0.0510456905786669,0.3606570686295735
43,Free,0.29405405405405405,0.9730557256582976,0.0,0.7391752577319589,0.616,0.5454545454545454,-2.1270384008416623,0.0,0.028794178794178796,0.05783132530120482,0.0,0.0497,0.7032520325203253,0.8,0.9915841584158416,0.0406476748344595,0.4448473695605109
