,Unnamed: 0,Unnamed: 0.1,name,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,artists_enc,album_enc,minmax_duration,minmax_tempo,album,artists
0,0,0,Testify,0.0,0.4761904761904761,0.978,0.6363636363636364,-1.1608256288970114,1.0,0.0752587991718426,0.0262048192771084,1.09e-05,0.356,0.503,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0345465673217254,0.4790395319546581,The Battle Of Los Angeles,['Rage Against The Machine']
1,1,1,Guerrilla Radio,1.0,0.6068895643363729,0.957,1.0,-1.2393033756181466,1.0,0.1946169772256729,0.0129518072289156,7.06e-05,0.155,0.489,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0338968771758549,0.4212408077032463,The Battle Of Los Angeles,['Rage Against The Machine']
2,2,2,Calm Like a Bomb,0.0,0.3191489361702128,0.97,0.6363636363636364,-1.1662008170285962,1.0,0.5,0.0234939759036144,2.03e-06,0.122,0.37,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0492087837843418,0.6084142526307236,The Battle Of Los Angeles,['Rage Against The Machine']
3,3,3,Mic Check,1.0,0.4457953394123607,0.967,1.0,-1.25349387228553,0.0,0.2453416149068323,0.1636546184738956,3.64e-06,0.121,0.574,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0351258867576695,0.3930930808922114,The Battle Of Los Angeles,['Rage Against The Machine']
4,4,4,Sleep Now In the Fire,0.0,0.4316109422492401,0.929,0.1818181818181818,-1.4467856374973125,1.0,0.0725672877846791,0.0016265060240963,0.105,0.0789,0.539,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0337977634999021,0.5162271970097103,The Battle Of Los Angeles,['Rage Against The Machine']
5,5,5,Born of a Broken Man,0.0,0.3019250253292806,0.848,0.1818181818181818,-1.278649752741346,1.0,0.0752587991718426,0.0540160642570281,0.0015199999999999,0.201,0.1939999999999999,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0462464411995728,0.6024539877300614,The Battle Of Los Angeles,['Rage Against The Machine']
6,6,6,Born As Ghosts,0.0,0.4224924012158054,0.976,0.8181818181818182,-1.2969253923887336,1.0,0.181159420289855,0.0004287148594376,0.000134,0.107,0.483,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0332096890225822,0.367265266322675,The Battle Of Los Angeles,['Rage Against The Machine']
7,7,7,Maria,0.0,0.2806484295845997,0.873,1.0,-1.4128144485056982,0.0,0.091407867494824,0.0069678714859437,5.400000000000001e-05,0.188,0.618,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0375133700219123,0.7022630317311988,The Battle Of Los Angeles,['Rage Against The Machine']
8,8,8,Voice of the Voiceless,0.0,0.4468085106382979,0.882,0.6363636363636364,-1.5831004085142977,1.0,0.0455486542443064,0.019578313253012,0.00684,0.15,0.418,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0248730725487329,0.3387275017267299,The Battle Of Los Angeles,['Rage Against The Machine']
9,9,9,New Millennium Homes,0.0,0.453900709219858,0.861,0.8181818181818182,-1.3158460546119115,1.0,0.0699792960662525,0.0030722891566265,0.0,0.0987,0.7609999999999999,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.036991371328561,0.3769430788607646,The Battle Of Los Angeles,['Rage Against The Machine']
10,10,10,Ashes In the Fall,1.0,0.4620060790273556,0.7040000000000001,0.6363636363636364,-1.4377553214362504,1.0,0.1016563146997929,0.0052208835341365,4.12e-06,0.0595,0.6559999999999999,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0456363965240833,0.5713606630642343,The Battle Of Los Angeles,['Rage Against The Machine']
11,11,11,War Within a Breath,0.0,0.4042553191489361,0.965,0.5454545454545454,-1.2687594065792305,1.0,0.1480331262939958,0.004437751004016,0.0314,0.3670000000000001,0.174,0.8,0.9896039603960396,0.7230101900302947,0.7971185640056684,0.0355862697824702,0.4000487547231138,The Battle Of Los Angeles,['Rage Against The Machine']
12,12,12,Bombtrack,1.0,0.4842958459979736,0.855,0.3636363636363636,-1.599225972909052,0.0,0.1252587991718426,0.0134538152610441,3.18e-05,0.179,0.6679999999999999,0.8,0.986138613861386,0.7230101900302947,0.6427727916863486,0.0401013932904997,0.6172754235566571,Rage Against The Machine,['Rage Against The Machine']
13,13,13,Killing In the Name,1.0,0.4630192502532928,0.779,0.6363636363636364,-1.3594925822403785,1.0,0.2660455486542443,0.018574297188755,2.04e-06,0.0247,0.7340000000000001,0.8,0.986138613861386,0.7230101900302947,0.6427727916863486,0.0516492928652194,0.3517368870109291,Rage Against The Machine,['Rage Against The Machine']
14,14,14,Take the Power Back,1.0,0.5491388044579535,0.8420000000000001,0.0909090909090909,-1.5345087078047732,1.0,0.1790890269151138,0.0431726907630522,0.000153,0.173,0.301,0.8,0.986138613861386,0.7230101900302947,0.6427727916863486,0.0553120387600548,0.4256774875066022,Rage Against The Machine,['Rage Against The Machine']
15,15,15,Settle for Nothing,0.0,0.5227963525835867,0.5329999999999999,0.6363636363636364,-2.056116964093744,1.0,0.0444099378881987,0.0254016064257028,4.71e-05,0.113,0.29,0.8,0.986138613861386,0.7230101900302947,0.6427727916863486,0.0472991936276513,0.3970747166131719,Rage Against The Machine,['Rage Against The Machine']
